Название,Ссылка товара,Старая цена,Цена,Скидка,Ссылки на картинки,Ссылки Доп Фото,Описание,Характеристики,Преимущества
Угловой диван BOSS XL рогожка Malmo серый,https://mnogomebeli.com/divany/uglovye-divany/uglovoy-divan-boss-xl-rogozhka-malmo/!uglovoy-divan-boss-xl-rogozhka-malmo-seryy/,79 999,62 999,-21%,"https://mnogomebeli.com/upload/iblock/a47/6uqopnumso7bhwx69gq1z2a88alfqomi.jpg, https://mnogomebeli.com/upload/iblock/ef7/bojk26oeoag1canxx5ywmwb41tljygnp.jpg, https://mnogomebeli.com/upload/iblock/b90/iu9dr1yne9537ds08fkia8dp7dxr16a8.jpg, https://mnogomebeli.com/upload/iblock/cc8/usq0xvung4zd2qxacimhc8stsqg1rrbf.jpg, https://mnogomebeli.com/upload/iblock/e3d/e3d90aa833336ae5804c33cb29588c07.jpg, https://mnogomebeli.com/upload/iblock/83b/83bf24d7fc2d0864847ef069dc5e387a.jpg, https://mnogomebeli.com/upload/iblock/8ce/hvy4ndw5w31b06cv98xwo9jg0fj4suav.jpg","https://mnogomebeli.com/upload/uf/0b6/0b6e07f3267a24663fa105cfdb3fcca8.png, https://mnogomebeli.com/upload/uf/cd4/cd4d906f016a06a8ff17e01ca321e09c.jpg, https://mnogomebeli.com/upload/uf/be6/be619ab7d70e76ef1b92597fc0fa70b7.png, https://mnogomebeli.com/upload/uf/353/353cfe57ae81ea084b2faf6794ed2cc4.png, https://mnogomebeli.com/upload/uf/ea0/ea02a38cb6bcbf11726234ee1131dcd9.png, https://mnogomebeli.com/upload/uf/616/616181d94cec4c97c97e779e36dbecf2.png, https://mnogomebeli.com/upload/uf/fd1/fd1dcef6479f73b4fbb26b6fe819f495.png, https://mnogomebeli.com/upload/uf/2a2/2a208fce47dc8926a4588996d082ba34.jpg, https://mnogomebeli.com/upload/uf/fcb/fcb3d3b8eef1b4943fc620277c1889db.jpg, https://mnogomebeli.com/upload/uf/497/497bd707816804e9ac8b8414fe42918c.png, https://mnogomebeli.com/upload/uf/921/p3ckzlf1wyac7dhmlyf9lgwz30t880tq.jpg, https://mnogomebeli.com/upload/uf/8ca/8ca35a0231646c691232fc19ab7e9657.gif, https://mnogomebeli.com/upload/uf/400/n9e6hariy4pkxrb0v14wiz17to20c66f.jpg, https://mnogomebeli.com/upload/iblock/afd/afdf61a1487531138cc481fce4f4638c.png",Угловой диван BOSS XL - диван с подъемной оттоманкой и механизмом Еврокнижка.,"Габариты (ШхГхВ): 285x160x90 см, Спальное место (ШхГ): 225x150 см, Механизм трансформации: Еврокнижка, Материал каркаса: фанера, древесные плиты, Наполнитель: ППУ, независимые пружины, Ткань: рогожка Malmo, Бельевой ящик: Да, Гарантия: 36 месяцев, Срок службы: 10 лет, Конфигурация: Угловой, Подлокотники: Да, Вес: 197 кг","Гладкая и приятная на ощупь текстура, Долгий срок эксплуатации, Рогожка с плетением микрокосичка, Соответствует европейскому сертификату OEKO-TEX®, Высокая стойкость к истиранию - 35 000 циклов, Простой уход"
Диван BOSS рогожка Malmo серый,https://mnogomebeli.com/divany/divany-krovati/divan-boss-rogozhka-malmo/!divan-boss-rogozhka-malmo-seryy/,59 999,44 999,-25%,"https://mnogomebeli.com/upload/iblock/655/mjqgjyplumxlkd5n3ajwd2pkd4peobdw.jpg, https://mnogomebeli.com/upload/iblock/3fa/qcg4qoq5kasdjpyhk6eu5o7ods77svvb.jpg, https://mnogomebeli.com/upload/iblock/bb5/n3a7dsgmrtcdbjfqdt0rxz0iijnmxggz.jpg, https://mnogomebeli.com/upload/iblock/319/lqhm4dxvagvic5y0wq623328oxgj7om2.jpg, https://mnogomebeli.com/upload/iblock/3d9/3d99b3865c2effb61ad669e8752c78f5.jpg, https://mnogomebeli.com/upload/iblock/7e4/q0v8omsbacoyq7k1smmjlucqc9c6pa2n.jpg","https://mnogomebeli.com/upload/uf/30b/30b94964927b4ee09822dc39a7806f02.jpg, https://mnogomebeli.com/upload/uf/cd4/cd4d906f016a06a8ff17e01ca321e09c.jpg, https://mnogomebeli.com/upload/uf/eca/ecaf915fafc2c921a1525fc45b32178a.jpg, https://mnogomebeli.com/upload/uf/800/800fd2064aba71b964d3d50396780e33.jpg, https://mnogomebeli.com/upload/uf/fd1/fd1dcef6479f73b4fbb26b6fe819f495.png, https://mnogomebeli.com/upload/uf/2a2/2a208fce47dc8926a4588996d082ba34.jpg, https://mnogomebeli.com/upload/uf/fcb/fcb3d3b8eef1b4943fc620277c1889db.jpg, https://mnogomebeli.com/upload/uf/ea0/ea02a38cb6bcbf11726234ee1131dcd9.png, https://mnogomebeli.com/upload/uf/dac/dac9c32f00acdd81cd70a4edc1bf38ea.jpg, https://mnogomebeli.com/upload/uf/ca4/0vjtzky6lv3qlusztq8wndfn7tzux5m3.gif, https://mnogomebeli.com/upload/uf/400/n9e6hariy4pkxrb0v14wiz17to20c66f.jpg, https://mnogomebeli.com/upload/iblock/932/932f9efc056b2377d03723aa51e85f97.png","Стильный диван для тех, кто ищет максимальный комфорт. Продуманный до мелочей диван BOSS сочетает в себе надежный каркас, мягкие ткани, многофункциональность и быструю сборку за 1 минуту без инструментов - ощутите комфорт у себя дома!","Габариты (ШхГхВ): 235x110x89 см, Спальное место (ШхГ): 200x150 см, Механизм трансформации: Еврокнижка, Материал каркаса: фанера, древесные плиты, Наполнитель: ППУ, независимые пружины, Ткань: рогожка Malmo, Бельевой ящик: Да, Гарантия: 36 месяцев, Срок службы: 10 лет, Конфигурация: Прямой, Подлокотники: Да, Вес: 137 кг","Гладкая и приятная на ощупь текстура, Долгий срок эксплуатации, Рогожка с плетением микрокосичка, Простой уход, Соответствует европейскому сертификату OEKO-TEX®, Высокая стойкость к истиранию - 35 000 циклов"
Диван Dandy euro рогожка Malmo бежевый,https://mnogomebeli.com/divany/pryamye-divany/divan-dandy-euro-rogozhka-malmo/!divan-dandy-euro-rogozhka-malmo-bezhevyy/,53 999,38 999,-28%,"https://mnogomebeli.com/upload/iblock/60e/t2zns48ygndqw9xjzkqphf0gg48b2a2c.jpg, https://mnogomebeli.com/upload/iblock/4a3/zrnjurrx9gthdvfjn2t3z2ynaypka2tj.jpg, https://mnogomebeli.com/upload/iblock/0e1/p97h0t0733lth9bqpqfle4f9my69ood8.jpg, https://mnogomebeli.com/upload/iblock/376/6uq5ajhykogh31cy2tf6d9gfagl5n10o.jpg, https://mnogomebeli.com/upload/iblock/834/v2uyjavhiatn3kp2xefsiuzxi35p4qg7.jpg, https://mnogomebeli.com/upload/iblock/db2/p03kfyasx93n1lssad391pmvrpfz2rd4.jpg","https://mnogomebeli.com/upload/uf/d85/d85f95867b718e918910a6b6c19f92a7.png, https://mnogomebeli.com/upload/uf/ff5/ff5701119e4ec1a5ba1e8f757376e37e.png, https://mnogomebeli.com/upload/uf/b42/1vu2dw512bpdnu0gv0fx26om22txpy7n.jpg, https://mnogomebeli.com/upload/uf/ca8/dctltauq8ls0sk167u2ms99br2lo1rk5.jpg, https://mnogomebeli.com/upload/uf/307/307fe41a8394d10350708832b88b088b.jpg, https://mnogomebeli.com/upload/uf/c8a/pwcndes5xc9uo6nx6uw6qzuifl9pcyje.gif, https://mnogomebeli.com/upload/iblock/5c4/z1wpyzfuykhe7e8bhpbkk50j2abb80c7.jpg","Диван Dandy Euro - с ним так легко создать настоящий уют и домашний комфорт. Мягкие приспинные подушки и независимый пружинный блок в основании обеспечат максимальный комфорт во время отдыха. Простой и надежный механизм трансформации еврокнижка позволяет с легкостью раскладывать диван в удобную, полноценную, двуспальную кровать с идеально ровным спальным местом.","Габариты (ШхГхВ): 231x105x92 см, Спальное место (ШхГ): 200x150 см, Механизм трансформации: Еврокнижка, Материал каркаса: фанера, древесные плиты, Наполнитель: ППУ, независимые пружины, Ткань: рогожка Malmo, Бельевой ящик: Да, Гарантия: 18 месяцев, Срок службы: 10 лет, Конфигурация: Прямой, Подлокотники: Да, Вес: 140 кг","Рогожка с плетением микрокосичка, Высокая стойкость к истиранию - 35 000 циклов, Долгий срок эксплуатации, Гладкая и приятная на ощупь текстура, Соответствует европейскому сертификату OEKO-TEX®, Простой уход"
"Дубай ETRO У рогожка Malmo бежевый, шоколад",https://mnogomebeli.com/divany/divany-krovati/uglovoy-divan-dubay-rogozhka-malmo/!uglovoy-divan-dubay-rogozhka-malmo-bezhevyy-shokolad/,56 999,48 999,-14%,"https://mnogomebeli.com/upload/iblock/d19/taqcah16x2fkh11c0vtiomhc7djg8mqb.jpg, https://mnogomebeli.com/upload/iblock/4ea/9e2k7u22ftn3o1eatl1ixq90oq1v6tnw.jpg, https://mnogomebeli.com/upload/iblock/ff6/rwwav11a60n4vskyiu6brjvg6whrfv3k.jpg, https://mnogomebeli.com/upload/iblock/426/f2jebyf47a83lore6a1mfwztcn6zvan7.jpg, https://mnogomebeli.com/upload/iblock/eb3/dnl8mrvtigg8divpvexgpb54yxea86dw.jpg, https://mnogomebeli.com/upload/iblock/570/yeh7ofldou6y18166a8i6zdxve1jpzkb.jpg, https://mnogomebeli.com/upload/iblock/0c5/vo52nl35z6tedswhogti078ofmvdjlxg.jpg","https://mnogomebeli.com/upload/uf/d85/d85f95867b718e918910a6b6c19f92a7.png, https://mnogomebeli.com/upload/uf/e4f/e4ff19a65a53e24d803b23620518c693.png, https://mnogomebeli.com/upload/uf/ff5/ff5701119e4ec1a5ba1e8f757376e37e.png, https://mnogomebeli.com/upload/uf/070/e8vupsl6tcdu063d9yt73kxzh8n0v9ry.png, https://mnogomebeli.com/upload/uf/5ab/saukjp18jsakqu0v8a6kkkxer4mpmemf.jpg, https://mnogomebeli.com/upload/uf/e59/e598f2bcac944ac25ff193c3791c54a8.jpg, https://mnogomebeli.com/upload/uf/58f/58fc8c5ee1c1d705c7ee1023c12c6454.gif, https://mnogomebeli.com/upload/iblock/026/026325561f2c140c0b1c17f853ad87c8.png",Просторный и очень удобный угловой диван Дубай станет стильным акцентом в Вашей гостиной и любимым местом для отдыха в кругу семьи и друзей. Его широкое сиденье и мягкие подушки с комфортом разместят даже большую компанию.,"Габариты (ШхГхВ): 300x155x87 см, Спальное место (ШхГ): 240x150 см, Механизм трансформации: Еврокнижка, Материал каркаса: фанера, древесные плиты, Наполнитель: ППУ, независимые пружины, Ткань: рогожка Malmo, Бельевой ящик: Да, Гарантия: 18 месяцев, Срок службы: 10 лет, Конфигурация: Угловой, Подлокотники: Да, Вес: 177 кг","Гладкая и приятная на ощупь текстура, Долгий срок эксплуатации, Рогожка с плетением микрокосичка, Соответствует европейскому сертификату OEKO-TEX®, Высокая стойкость к истиранию - 35 000 циклов, Простой уход"
Угловой диван Атланта Люкс экокожа белый,https://mnogomebeli.com/divany/uglovye-divany/uglovoy-divan-atlanta-ekokozha/!uglovoy-divan-atlanta-ekokozha-belaya/,,34 999,,"https://mnogomebeli.com/upload/iblock/973/kgkf0jqbuyhx5kdvrr7hsmc8bg3ho8ob.jpg, https://mnogomebeli.com/upload/iblock/12b/globyrx6ww9yod8zzvycyukgx5jo4xuy.jpg, https://mnogomebeli.com/upload/iblock/d40/2i8gdtkp63cuv1muga0npqz1cd6u2fh7.jpg, https://mnogomebeli.com/upload/iblock/c2b/d109s9rl7zwdlmmvo4yqrl85rkiag2h6.jpg, https://mnogomebeli.com/upload/iblock/79e/e6xh90muqvwtvgpe2zj5zntqj9v1rqnv.jpg, https://mnogomebeli.com/upload/iblock/204/6x0gbtctpbs76yf0g4gldkal55egjn9t.jpg","https://mnogomebeli.com/upload/uf/418/41863dc6fa5acc34446725a7fe6aad85.png, https://mnogomebeli.com/upload/uf/ff5/ff5701119e4ec1a5ba1e8f757376e37e.png, https://mnogomebeli.com/upload/uf/348/zk5iu02mesbc2gq1msvaufrazvb106f1.jpg, https://mnogomebeli.com/upload/uf/8e1/8e1b026bfa23ad31cd101552e4e4f0b2.jpg, https://mnogomebeli.com/upload/uf/297/29716505ac6456a17a5c06549c033d44.jpg, https://mnogomebeli.com/upload/uf/e65/e65f7671064565758679661da2e69443.jpg, https://mnogomebeli.com/upload/uf/436/w87oac1z6qshw1mwmi7cc1g98crdffmn.gif, https://mnogomebeli.com/upload/iblock/eca/ecafb8ac9ca9fb9ee279173875f22887.png","Угловой диван Атланта, благодаря своему элегантному и практичному дизайну, замечательно дополнит интерьер Вашей гостиной. Надежный и простой механизм трансформации дельфин идеален для постоянного использования и выдерживает большие нагрузки.","Габариты (ШхГхВ): 255x160x86 см, Спальное место (ШхГ): 200x140 см, Механизм трансформации: Дельфин, Материал каркаса: фанера, древесные плиты, Наполнитель: ППУ, пружины змейка, Ткань: экокожа, Бельевой ящик: Да, Гарантия: 18 месяцев, Срок службы: 10 лет, Конфигурация: Угловой, Подлокотники: Да, Вес: 124 кг","Высокая стойкость к истиранию - 35 000 циклов, Привлекательный внешний вид, Рисунок экокожи идентичен натуральной, Воздухопроницаемый материал, Простой уход, Гипоаллергенный материал"
Диван Dandy NEW рогожка Malmo синий,https://mnogomebeli.com/divany/pryamye-divany/divan-dandy-rogozhka-malmo/!divan-dandy-rogozhka-malmo-siniy/,53 999,42 999,-20%,"https://mnogomebeli.com/upload/iblock/522/ncu9afgyb4j6fpnipd8zcx75lkeczvt9.jpg, https://mnogomebeli.com/upload/iblock/109/pu7k2910f4nhgi8ibrbs2uj5ye7t24qx.jpg, https://mnogomebeli.com/upload/iblock/75a/wa7fazfcbp796usnpinz5sj02ih172cu.jpg, https://mnogomebeli.com/upload/iblock/d0a/fbzs7sky007ob7gfyk15jcpje8o7v2v2.jpg, https://mnogomebeli.com/upload/iblock/984/95sjmti1zhculz3w4zmz02nau5fd3frf.jpg, https://mnogomebeli.com/upload/iblock/f60/e8cqzqk2be7c2lrbtv4wqa0uvc6u9464.jpg","https://mnogomebeli.com/upload/uf/d85/d85f95867b718e918910a6b6c19f92a7.png, https://mnogomebeli.com/upload/uf/ff5/ff5701119e4ec1a5ba1e8f757376e37e.png, https://mnogomebeli.com/upload/uf/05a/05a0916a80e378fbba8c6b96d0b7af1a.png, https://mnogomebeli.com/upload/uf/00d/nwwyt5140j371yeu62r76e81h94o69uc.jpg, https://mnogomebeli.com/upload/uf/ca8/dctltauq8ls0sk167u2ms99br2lo1rk5.jpg, https://mnogomebeli.com/upload/uf/307/307fe41a8394d10350708832b88b088b.jpg, https://mnogomebeli.com/upload/uf/c25/c2555ffc2fd5bda3852dff750e872cfc.gif, https://mnogomebeli.com/upload/iblock/78b/ucvjw2bo2d389rz140s5lsmj0noz2gjn.jpg","Диван Dandy NEW - с ним так легко создать настоящий уют и домашний комфорт. Усовершенствованный механизм раскладывания OVER STEP 2.0 - уникальная разработка на основе пантографа, который относят к наиболее прочным и долговечным. Легкий и невероятно удобный механизм трансформации позволяет с легкостью раскладывать диван в удобную, полноценную, двуспальную кровать с идеально ровным спальным местом.","Габариты (ШхГхВ): 235x105x92 см, Спальное место (ШхГ): 200x150 см, Механизм трансформации: Over Step 2.0, Материал каркаса: фанера, древесные плиты, Наполнитель: ППУ, независимые пружины, Ткань: рогожка Malmo, Бельевой ящик: Да, Гарантия: 18 месяцев, Срок службы: 10 лет, Конфигурация: Прямой, Подлокотники: Да, Вес: 140 кг","Рогожка с плетением микрокосичка, Высокая стойкость к истиранию - 35 000 циклов, Долгий срок эксплуатации, Гладкая и приятная на ощупь текстура, Соответствует европейскому сертификату OEKO-TEX®, Простой уход"
Угловой диван Кёльн рогожка Malmo серый,https://mnogomebeli.com/divany/divany-krovati/uglovoy-divan-kyeln-rogozhka-malmo/!uglovoy-divan-kyeln-rogozhka-malmo-seryy/,32 999,26 999,-18%,"https://mnogomebeli.com/upload/iblock/a97/i8ibkdxy4s8nrq6m4z3jeki179uiqofp.jpg, https://mnogomebeli.com/upload/iblock/971/2lwwvzldh7lnhkf0gdu916nmd121crtq.jpg, https://mnogomebeli.com/upload/iblock/1b5/gnb2tpz3tsa8rjct9hn3bnywh8nkh3i3.jpg, https://mnogomebeli.com/upload/iblock/9a6/ypdvwp4wui993prz3xds91vm3vh40392.jpg, https://mnogomebeli.com/upload/iblock/eae/8h3ekobn8ed4f6hoccyb7f0ks5ytgp7m.jpg, https://mnogomebeli.com/upload/iblock/284/pn2fcd964s6or77f7ok601a5tqbj1mz2.jpg","https://mnogomebeli.com/upload/uf/66d/66dfa64e306cafacd960d805edfcc2f7.png, https://mnogomebeli.com/upload/uf/22b/22b3739a8fd3f751039eb6ad6e964e5f.png, https://mnogomebeli.com/upload/uf/f82/f8281110a0f818b550de9a8dba058484.jpg, https://mnogomebeli.com/upload/uf/471/471058827384c9b32c81e6d88e4f081b.png, https://mnogomebeli.com/upload/uf/3bd/3bd1e9e4877bb10989d1343ec8e9aa0f.gif, https://mnogomebeli.com/upload/iblock/caa/caaab2c9def7b1d741ffd2526f0b65d6.png","Диван Кёльн  угловой идеально подойдет для маленькой квартиры или дачи, благодаря узким подлокотникам и небольшому размеру для углового дивана. Спинка дивана оснащена мягкими подушками, которые способствуют максимальному комфорту во время отдыха.","Габариты (ШхГхВ): 223x160x85 см, Спальное место (ШхГ): 197x146 см, Механизм трансформации: Дельфин, Материал каркаса: фанера, древесные плиты, Наполнитель: ППУ, пружины змейка, Ткань: рогожка Malmo, Бельевой ящик: Да, Гарантия: 18 месяцев, Срок службы: 10 лет, Конфигурация: Угловой, Подлокотники: Да, Вес: 112 кг","Гладкая и приятная на ощупь текстура, Долгий срок эксплуатации, Рогожка с плетением микрокосичка, Высокая стойкость к истиранию - 35 000 циклов, Соответствует европейскому сертификату OEKO-TEX®, Простой уход"
Угловой диван Атланта НПБ экокожа белый,https://mnogomebeli.com/divany/uglovye-divany/uglovoy-divan-atlanta-npb-ekokozha/!uglovoy-divan-atlanta-npb-ekokozha-belaya/,,44 999,,"https://mnogomebeli.com/upload/iblock/3b9/aq84q7l1bdhbkdg74zo7r6bhuni5fwtv.jpg, https://mnogomebeli.com/upload/iblock/a71/hdc2ul90mu355mv7g60vlgmgclkjg5yo.jpg, https://mnogomebeli.com/upload/iblock/fc0/4navoe25u9poxwpxsk20qqaf0hyg3mow.jpg, https://mnogomebeli.com/upload/iblock/ea5/eaif99ig9g1wqp2528zq0o8ca3307ry2.jpg, https://mnogomebeli.com/upload/iblock/ccc/1ld1sbv0amlon2nlmm8zffjj29nht83e.jpg, https://mnogomebeli.com/upload/iblock/bc3/zt44ap9hcppsxydehe9g9tgi0r9n86tu.jpg","https://mnogomebeli.com/upload/uf/25f/25f6dcd606a725b83c23e0f4fca88036.png, https://mnogomebeli.com/upload/uf/ff5/ff5701119e4ec1a5ba1e8f757376e37e.png, https://mnogomebeli.com/upload/uf/348/zk5iu02mesbc2gq1msvaufrazvb106f1.jpg, https://mnogomebeli.com/upload/uf/8e1/8e1b026bfa23ad31cd101552e4e4f0b2.jpg, https://mnogomebeli.com/upload/uf/297/29716505ac6456a17a5c06549c033d44.jpg, https://mnogomebeli.com/upload/uf/e65/e65f7671064565758679661da2e69443.jpg, https://mnogomebeli.com/upload/uf/436/w87oac1z6qshw1mwmi7cc1g98crdffmn.gif, https://mnogomebeli.com/upload/iblock/648/648d65432301aa8a00133fd8de6fcc07.png","Угловой диван Атланта, благодаря своему элегантному и практичному дизайну, замечательно дополнит интерьер Вашей гостиной. Надежный и простой механизм трансформации дельфин идеален для постоянного использования и выдерживает большие нагрузки.","Габариты (ШхГхВ): 255x160x92 см, Спальное место (ШхГ): 200x140 см, Механизм трансформации: Дельфин, Материал каркаса: фанера, древесные плиты, Наполнитель: ППУ, независимые пружины, Ткань: экокожа, Бельевой ящик: Да, Гарантия: 18 месяцев, Срок службы: 10 лет, Конфигурация: Угловой, Подлокотники: Да, Вес: 143 кг","Высокая стойкость к истиранию - 35 000 циклов, Привлекательный внешний вид, Рисунок экокожи идентичен натуральной, Простой уход, Воздухопроницаемый материал, Гипоаллергенный материал"
Угловой диван Атланта Люкс рогожка Malmo синий,https://mnogomebeli.com/divany/uglovye-divany/uglovoy-divan-atlanta-rogozhka-malmo/!uglovoy-divan-atlanta-rogozhka-malmo-siniy/,39 999,32 999,-18%,"https://mnogomebeli.com/upload/iblock/ccd/0ewush9laaiemrzv1vcq4tbqxvy99v6f.jpg, https://mnogomebeli.com/upload/iblock/bd4/t2vtqaif55qnlkwr883owqsdgyfqtxu1.jpg, https://mnogomebeli.com/upload/iblock/2a4/lfthlvvelwmiscz2kibo82i3zbj3ftui.jpg, https://mnogomebeli.com/upload/iblock/e10/hal8spelu5j7frz67onua9k6wj6amxwu.jpg, https://mnogomebeli.com/upload/iblock/c6e/6h333cuuo7h5hga6tgq3g6nsg8rnu9uw.jpg, https://mnogomebeli.com/upload/iblock/9c6/435jqo3xx63lrnbulwzqqsil9bqzt549.jpg, https://mnogomebeli.com/upload/iblock/23d/v2ekytkis25ts1hdv83i61id2bl0xx21.jpg","https://mnogomebeli.com/upload/uf/418/41863dc6fa5acc34446725a7fe6aad85.png, https://mnogomebeli.com/upload/uf/ff5/ff5701119e4ec1a5ba1e8f757376e37e.png, https://mnogomebeli.com/upload/uf/348/zk5iu02mesbc2gq1msvaufrazvb106f1.jpg, https://mnogomebeli.com/upload/uf/8e1/8e1b026bfa23ad31cd101552e4e4f0b2.jpg, https://mnogomebeli.com/upload/uf/297/29716505ac6456a17a5c06549c033d44.jpg, https://mnogomebeli.com/upload/uf/e65/e65f7671064565758679661da2e69443.jpg, https://mnogomebeli.com/upload/uf/436/w87oac1z6qshw1mwmi7cc1g98crdffmn.gif, https://mnogomebeli.com/upload/iblock/030/030320d1da2909e6e7d77d3b6f474607.png","Угловой диван Атланта, благодаря своему элегантному и практичному дизайну, замечательно дополнит интерьер Вашей гостиной. Надежный и простой механизм трансформации Дельфин идеален для постоянного использования и выдерживает большие нагрузки.","Габариты (ШхГхВ): 255x160x86 см, Спальное место (ШхГ): 200x140 см, Механизм трансформации: Дельфин, Материал каркаса: фанера, древесные плиты, Наполнитель: ППУ, пружины змейка, Ткань: рогожка Malmo, Бельевой ящик: Да, Гарантия: 18 месяцев, Срок службы: 10 лет, Конфигурация: Угловой, Подлокотники: Да, Вес: 124 кг","Гладкая и приятная на ощупь текстура, Долгий срок эксплуатации, Рогожка с плетением микрокосичка, Соответствует европейскому сертификату OEKO-TEX®, Простой уход, Высокая стойкость к истиранию - 35 000 циклов"
Угловой диван Атланта НПБ рогожка Malmo шоколад,https://mnogomebeli.com/divany/uglovye-divany/uglovoy-divan-atlanta-npb-rogozhka-malmo/!uglovoy-divan-atlanta-npb-rogozhka-malmo-shokolad/,,42 999,,"https://mnogomebeli.com/upload/iblock/fc7/8ggl7m35frszn7562orztf2s5115hv65.jpg, https://mnogomebeli.com/upload/iblock/5cc/mt21v60p424i9i5qt36as9xtn0kkqs3d.jpg, https://mnogomebeli.com/upload/iblock/131/3v7szqqy1ck8nnn2g2oasekzhvztq4jf.jpg, https://mnogomebeli.com/upload/iblock/625/u96wsl2yvgsu1j87lbza1z0q9zbw8gx2.jpg, https://mnogomebeli.com/upload/iblock/1ba/1ba851197f38b157ce01b9de250f46aa.jpg, https://mnogomebeli.com/upload/iblock/70a/70a78dc34e7e528e0e923014e0e3427e.jpg, https://mnogomebeli.com/upload/iblock/0b9/del2nbg90v29dsbo6yebsyiqwnsv1xwq.jpg","https://mnogomebeli.com/upload/uf/25f/25f6dcd606a725b83c23e0f4fca88036.png, https://mnogomebeli.com/upload/uf/ff5/ff5701119e4ec1a5ba1e8f757376e37e.png, https://mnogomebeli.com/upload/uf/348/zk5iu02mesbc2gq1msvaufrazvb106f1.jpg, https://mnogomebeli.com/upload/uf/8e1/8e1b026bfa23ad31cd101552e4e4f0b2.jpg, https://mnogomebeli.com/upload/uf/297/29716505ac6456a17a5c06549c033d44.jpg, https://mnogomebeli.com/upload/uf/e65/e65f7671064565758679661da2e69443.jpg, https://mnogomebeli.com/upload/uf/436/w87oac1z6qshw1mwmi7cc1g98crdffmn.gif, https://mnogomebeli.com/upload/iblock/366/366cdaccc6bb5598e9d83d670e1a72a8.png","Угловой диван Атланта, благодаря своему элегантному и практичному дизайну, замечательно дополнит интерьер Вашей гостиной. Надежный и простой механизм трансформации Дельфин идеален для постоянного использования и выдерживает большие нагрузки. Модель оснащена прорезиненными колесиками, что обеспечит вам легкость раскладки и обезопасит от повреждений напольное покрытие.","Габариты (ШхГхВ): 255x160x92 см, Спальное место (ШхГ): 200x140 см, Механизм трансформации: Дельфин, Материал каркаса: фанера, древесные плиты, Наполнитель: ППУ, независимые пружины, Ткань: рогожка Malmo, Бельевой ящик: Да, Гарантия: 18 месяцев, Срок службы: 10 лет, Конфигурация: Угловой, Подлокотники: Да, Вес: 143 кг","Гладкая и приятная на ощупь текстура, Долгий срок эксплуатации, Рогожка с плетением микрокосичка, Высокая стойкость к истиранию - 35 000 циклов, Соответствует европейскому сертификату OEKO-TEX®, Простой уход"
